Module,FunctionDef,arguments,Expr,If,Assign,Return,arg,Constant,Compare,Name,Subscript,ListComp,BinOp,Call,LtE,Store,Load,comprehension,Add,FloorDiv,Lt,Eq,Gt,cyclomatic_complexity,n_dangerous_calls,n_suspicious_imports,import_count,n_sql_sink_calls,has_sql_concat,max_entropy,mean_entropy,n_high_entropy_nodes,While,List,For,Attribute,NotIn,Starred,keyword,JoinedStr,FormattedValue,Sub,AugAssign,Mult,Yield,With,withitem,Tuple,DictComp,In,LABEL,SOURCE
1,1,1,0.0,0.0,0.0,1.0,1,3,1.0,5,2.0,0.0,0.0,2.0,0.0,1.0,8,1.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,dataProcess.py_process_user_data
1,1,1,1.0,0.0,1.0,1.0,1,3,0.0,3,0.0,0.0,2.0,0.0,0.0,1.0,2,0.0,2.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1,4.097713298473773,4.061956025097317,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,security_flaws.py_insecure_sql_query
1,1,1,2.0,0.0,0.0,0.0,1,2,0.0,2,0.0,0.0,1.0,1.0,0.0,0.0,3,0.0,1.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,3.7216179116018853,3.7216179116018853,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,security_flaws.py_command_injection_os
1,1,1,2.0,0.0,0.0,0.0,1,1,0.0,2,0.0,0.0,0.0,2.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,3.5119226816512814,3.5119226816512814,0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,security_flaws.py_command_injection_popen
1,1,1,1.0,0.0,0.0,1.0,1,1,0.0,2,0.0,0.0,0.0,1.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,3.6754691148150216,3.6754691148150216,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,security_flaws.py_dangerous_eval
1,1,1,2.0,0.0,0.0,0.0,1,1,0.0,2,0.0,0.0,0.0,1.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,3.5915239875025375,3.5915239875025375,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,security_flaws.py_dangerous_exec
1,1,1,1.0,0.0,0.0,1.0,1,1,0.0,2,0.0,0.0,0.0,1.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,3.495509828165145,3.495509828165145,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,security_flaws.py_insecure_deserialization
1,1,1,1.0,0.0,0.0,1.0,1,3,0.0,4,0.0,0.0,1.0,2.0,0.0,1.0,4,0.0,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,3.7553700702378117,3.32583079964187,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1,security_flaws.py_path_traversal_open
1,1,1,2.0,0.0,1.0,0.0,1,2,0.0,5,0.0,0.0,0.0,3.0,0.0,1.0,6,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,3.807689198885676,3.807689198885676,0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,security_flaws.py_hidden_payload_decode
1,1,1,2.0,0.0,0.0,0.0,1,4,0.0,2,0.0,0.0,2.0,1.0,0.0,0.0,3,0.0,2.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,3.9384044260046442,3.443053602612367,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,security_flaws.py_subprocess_shell_true
